,axial_max,tang_max,index_of_axm,index_of_tnm,axial_in_mxt,tang_in_mxa,cone_angl,label
285,-11.5798309224543,-9.78741077408386,25,38,-7.04708679466083,-7.23004272218502,12,1
286,-11.4679067529805,-9.47322521558983,25,38,-7.24618440206438,-6.88945734733642,12,1
287,-11.4329259850387,-9.09234154070728,25,38,-7.48311282971737,-6.53485272931308,12,1
288,-11.3957685787065,-8.81924464461289,24,38,-7.56191058188529,-6.29322578464784,12,1
289,-11.2023631805833,-8.40999717901946,23,36,-6.7345483892626,-6.11279429307096,12,1
290,-11.2263682202019,-8.06327951447672,22,36,-6.86299514471232,-5.9398947662377,12,1
291,-11.2737879561382,-7.36531508993356,20,38,-8.59384545295792,-5.91307134068872,12,1
292,-11.4312101805348,-6.709932136191,22,41,-10.0828290338975,-5.22737816514446,12,1
293,-11.3344448246984,-6.36091301551158,20,39,-9.46899878404214,-4.90945910905438,12,0
294,-11.1612805898318,-6.11772804742268,18,40,-10.1517100557987,-4.92525961260997,12,0
295,-11.2403416539126,-5.88540871639558,17,39,-10.1937896301701,-4.85734221618271,12,0
296,-11.4498036040249,-5.78022026540293,18,39,-10.558435297641,-4.44620483194938,12,0
297,-11.9354295874515,-6.14201581668593,11,35,-11.1855019259286,-5.32241317114707,12,0
298,-12.1957719006783,-6.54982654665953,5,34,-12.0922257268443,-6.37355969812719,12,0
299,-12.4419074029877,-5.67743105404135,1,34,-12.3678788023034,-5.44215534699267,12,0
300,-12.7647898771519,-4.77734803937663,1,35,-12.5526715224121,-7.36370594915431,12,0
